station,MAE,RMSE,MAPE,MMD,JSD
station1,1.0326076594550482,1.5075351712305332,0.5038271332129667,0.01010801311296139,0.45431557293836894
station18,0.37141194468787747,0.4910833769351436,0.23760949590288022,0.0011594741029852251,0.4532647237780905
station21,0.3990979551302247,0.5681278307241366,0.2653004778211782,0.001285583708376059,0.4616131656785327
station12,0.6503237128181435,0.9864785064267179,0.3193170288438709,0.0023326443311717515,0.46794017463288634
station22,0.2768966526032617,0.35702803116405485,0.2175059319450969,0.0008433885949414854,0.4339307303929403
station4,0.7727838959345742,1.0650725281162792,0.3926816937568669,0.002795683718596065,0.4751413293395321
station11,0.8329953893478248,1.2608249532229072,0.3798214308533266,0.005224118487114904,0.4041187250091039
station7,0.2350587666192088,0.3395587437891453,0.1668031369012864,0.00034097033260427345,0.4570745821120872
station8,0.3795087005210249,0.6110181853582669,0.22448114103695563,0.0010232397077918343,0.435359920769813
station9,0.5755139279526564,0.851989382389672,0.29553656490207164,0.0026174630227149276,0.41493856763364323
station15,0.25404525375185,0.3196511148312689,0.20617371666768822,0.0005587743616142227,0.47534818022002656
station10,0.2706144401233927,0.4283606284507841,0.17003863857377285,0.0006320351687181258,0.46336218913797994
station13,0.7681860538924101,1.1836307424796226,0.3353911543557088,0.004519175678954657,0.4082105418946347
station20,1.8333316586877293,2.4460519526093,0.7086947361793109,0.03143442098624405,0.5184660772577168
station17,0.30511566699429643,0.4592837889002302,0.16907731730493591,0.0011035772499208285,0.4163059658951613
station16,2.192711707916176,2.896486360474256,0.6537443533035064,0.059416538070384384,0.511425601024245
station2,0.38498752308517437,0.5752130663058288,0.24651299918384936,0.0010477222471729775,0.44754536218727525
station19,0.2173322906078233,0.3800850934120594,0.10846715033073626,0.0010061735739612665,0.3754958101001696
station5,0.5483177681572619,0.9690167823082321,0.2903156311845686,0.003837996109455899,0.41572878952640313
station6,1.287773952864424,1.7222181415929854,0.6198769982623707,0.013137291373840121,0.48611921630877386
station14,1.0884998691056509,1.5222500057406496,0.508219718674005,0.012549971867689136,0.4675440306844836
station24,0.5728033510389283,0.707881606200021,0.6507646657885834,0.004446294639853132,0.5850665487714514
station3,0.1141235551165826,0.17871026781333707,0.09067758450578278,0.00023325016398723086,0.433445070333262
station23,0.17885607621980168,0.3766020781797203,0.04928791503002466,0.0012435517865851953,0.3073640164770171
