station,MAE,RMSE,MAPE,MMD,JSD,variance
station1,1.053899287539411,1.5024566432874873,0.5337040744557833,0.0094365292051055,0.47040303699141,0.0010679104126546
station18,0.3922625084596616,0.5032750439452581,0.2611630020265718,0.0012386808395761,0.4440761792845796,0.0003005780381564
station21,0.4657085929989345,0.5749167193074111,0.3340939746408168,0.0014527803903088,0.4585177694978795,0.0007264441671394
station12,0.677482359032757,0.9877869260908108,0.3574560826052675,0.0023001881592621,0.4825412824646094,0.0020307641905913
station22,0.2511230332548346,0.3589723384083327,0.1703738048034331,0.0008123107802713,0.442355959114653,0.0005482257621939
station4,0.7944291783211358,1.1225020263313965,0.3858357091361301,0.0032951773331744,0.4688388716963482,0.0042834360371981
station11,0.8581926906808043,1.322420558776264,0.3706394077154474,0.0063735448619968,0.405188192195426,0.0059374867719563
station7,0.251911625167682,0.3473760876791409,0.1822597529220304,0.0004273886844834,0.4779883042553453,0.0009700082131866
station8,0.3848130149627747,0.605880577952355,0.2299993460652668,0.0008671431544142,0.4473722905726123,0.001565663194286
station9,0.552893552590467,0.7860189055390816,0.342793068654453,0.0014062572105673,0.5009343325727675,0.0015956045063446
station15,0.2169077653989273,0.3064141364996667,0.1564878418055632,0.0004518265830453,0.4479740431483714,0.0006399323667111
station10,0.2727869853608405,0.4355189726244411,0.169526148832582,0.0006843086270695,0.413819104370811,0.0010551045040492
station13,0.7592442440991387,1.120335863475965,0.3983255180831538,0.0030198602883668,0.3870973191060216,0.0026889024554125
station20,1.797093484491752,2.657366742277604,0.537728030279716,0.0408859958243497,0.516146074518548,0.0014149670581055
station17,0.3040749445926007,0.4748426333548703,0.1605101485245739,0.0012614052655508,0.4440603527642902,0.0018271019107284
station16,1.844038649846716,2.496107403414659,0.6779972247495373,0.0374502694529539,0.4817532197327078,0.0008496507873076
station2,0.3743057231697559,0.5429042182014244,0.2496463762940623,0.0008170072822464,0.4368388666275106,0.0009002176822986
station19,0.2271850896239463,0.3868526233515792,0.114757233575973,0.0010390252288483,0.3580422025112178,0.0010580660166214
station5,0.5783553616065275,0.9414849988462548,0.3148864250366802,0.0029853581695817,0.4165047473034337,0.0011298403087771
station6,1.3354278917858726,1.739994929059462,0.6690230828795952,0.0143054694555107,0.4819711869181736,0.0006816911817249
station14,1.0713043369568216,1.4842307088961195,0.5099081483494573,0.0110559027223295,0.4617761756862507,0.0007888246689959
station24,0.5342071743122108,0.649951295701722,0.6103171233725989,0.0037109516998932,0.5818895882381784,0.0011786364000211
station3,0.1268623002650771,0.186490150322905,0.1022069535806911,0.0002481602552311,0.4417285702333604,0.0008871042190889
station23,0.1826557185051435,0.3801245578578472,0.051765315304922,0.0012654889701424,0.3704234644908245,0.002277776203539
